Customer ID;Gender;Married;City;Offer;Phone Service;Multiple Lines;Internet Service;Internet Type;Online Security;Online Backup;Device Protection Plan;Premium Tech Support;Streaming TV;Streaming Movies;Streaming Music;Unlimited Data;Contract;Customer Status;Age;Number of Dependents;Latitude;Longitude;Number of Referrals;Tenure in Months;Avg Monthly Long Distance Charges;Avg Monthly GB Download;Monthly Charge;Total Charges;Total Refunds;Total Extra Data Charges;Total Long Distance Charges;Total Revenue;Internet_Services_Count;Monthly_charge;Monthly_Revenue;Refund_Rate;Extra_Charges_Rate;Churn Category;Churn Reason;Payment Method
0002-ORFBO;Female;Yes;Frazier Park;No;Yes;No;Yes;Cable;No;Yes;No;Yes;Yes;No;No;Yes;One Year;Stayed;37;0;34.827662;-118.999073;2;9;42.39;16.0;65.6;593.3;0.0;0;381.51;974.81;4;65.92222222222222;108.31222222222222;0.0;0.39136857438885525;;;Credit Card
0003-MKNFE;Male;No;Glendale;No;Yes;Yes;Yes;Cable;No;No;No;No;No;Yes;Yes;No;Month-to-Month;Stayed;46;0;34.162515;-118.203869;0;9;10.69;10.0;-4.0;542.4;38.33;10;96.21;610.28;2;60.266666666666666;67.80888888888889;0.07066740412979351;0.1740348692403487;;;Credit Card
0004-TLHLJ;Male;No;Costa Mesa;Offer E;Yes;No;Yes;Fiber Optic;No;No;Yes;No;No;No;No;Yes;Month-to-Month;Churned;50;0;33.645672;-117.922613;0;4;33.65;30.0;73.9;280.85;0.0;0;134.6;415.45;2;70.2125;103.8625;0.0;0.3239860392345649;Competitor;Competitor had better devices;Bank Withdrawal
0011-IGKFF;Male;Yes;Martinez;Offer D;Yes;No;Yes;Fiber Optic;No;Yes;Yes;No;Yes;Yes;No;Yes;Month-to-Month;Churned;78;0;38.014457;-122.115432;1;13;27.82;4.0;98.0;1237.85;0.0;0;361.66;1599.51;5;95.21923076923076;123.03923076923077;0.0;0.22610674519071466;Dissatisfaction;Product dissatisfaction;Bank Withdrawal
0013-EXCHZ;Female;Yes;Camarillo;No;Yes;No;Yes;Fiber Optic;No;No;No;Yes;Yes;No;No;Yes;Month-to-Month;Churned;75;0;34.227846;-119.079903;3;3;7.38;11.0;83.9;267.4;0.0;0;22.14;289.54;3;89.13333333333333;96.51333333333334;0.0;0.07646611867099537;Dissatisfaction;Network reliability;Credit Card
0013-MHZWF;Female;No;Midpines;Offer E;Yes;No;Yes;Cable;No;No;No;Yes;Yes;Yes;Yes;Yes;Month-to-Month;Stayed;23;3;37.581496;-119.972762;0;9;16.77;73.0;69.4;571.45;0.0;0;150.93;722.38;5;63.49444444444445;80.26444444444445;0.0;0.20893435587917716;;;Credit Card
0013-SMEOE;Female;Yes;Lompoc;Offer A;Yes;No;Yes;Fiber Optic;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Two Year;Stayed;67;0;34.757477;-120.550507;1;71;9.96;14.0;109.7;7904.25;0.0;0;707.16;8611.41;8;111.3274647887324;121.2874647887324;0.0;0.08211895612913564;;;Bank Withdrawal
0014-BMAQU;Male;Yes;Napa;Offer B;Yes;Yes;Yes;Fiber Optic;Yes;No;No;Yes;No;No;No;No;Two Year;Stayed;52;0;38.489789;-122.27011;8;63;12.96;7.0;84.65;5377.8;0.0;20;816.48;6214.28;2;85.36190476190477;98.63936507936508;0.0;0.13460610078721913;;;Credit Card
0015-UOCOJ;Female;No;Simi Valley;Offer E;Yes;No;Yes;DSL;Yes;No;No;No;No;No;No;Yes;Two Year;Stayed;68;0;34.296813;-118.685703;0;7;10.53;21.0;48.2;340.35;0.0;0;73.71;414.06;2;48.621428571428574;59.151428571428575;0.0;0.17801767859730472;;;Bank Withdrawal
0016-QLJIS;Female;Yes;Sheridan;No;Yes;Yes;Yes;Cable;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Two Year;Stayed;43;1;38.984756;-121.345074;3;65;28.46;14.0;90.45;5957.9;0.0;0;1849.9;7807.8;8;91.66;120.12;0.0;0.23692973692973693;;;Credit Card
0017-DINOC;Male;No;Rancho Santa Fe;No;No;No;Yes;Cable;Yes;No;No;Yes;Yes;No;No;Yes;Two Year;Stayed;47;0;32.99356;-117.207121;0;54;0.0;10.0;45.2;2460.55;0.0;0;0.0;2460.55;4;45.56574074074074;45.56574074074074;0.0;0.0;;;Credit Card
0017-IUDMW;Female;Yes;Sunnyvale;No;Yes;Yes;Yes;Fiber Optic;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Two Year;Stayed;25;2;37.378541;-122.020456;2;72;16.01;59.0;116.8;8456.75;0.0;0;1152.72;9609.47;8;117.45486111111111;133.4648611111111;0.0;0.1199566677454636;;;Credit Card
0018-NYROU;Female;Yes;Antelope;No;Yes;No;Yes;Fiber Optic;No;No;No;No;No;No;No;Yes;Month-to-Month;Stayed;58;0;38.715498;-121.363411;0;5;18.65;10.0;68.95;351.5;0.0;0;93.25;444.75;1;70.3;88.95;0.0;0.2096683530073075;;;Bank Withdrawal
0019-EFAEP;Female;No;La Mesa;Offer A;Yes;Yes;Yes;Fiber Optic;Yes;Yes;Yes;No;Yes;No;No;Yes;Two Year;Stayed;32;0;32.782501;-117.01611;0;72;2.25;16.0;101.3;7261.25;0.0;0;162.0;7423.25;5;100.85069444444444;103.10069444444444;0.0;0.02182332536288014;;;Bank Withdrawal
0019-GFNTW;Female;No;Los Olivos;No;No;No;Yes;DSL;Yes;Yes;Yes;Yes;No;No;No;Yes;Two Year;Stayed;39;0;34.70434;-120.02609;0;56;0.0;19.0;45.05;2560.1;0.0;0;0.0;2560.1;5;45.716071428571425;45.716071428571425;0.0;0.0;;;Bank Withdrawal
0020-INWCK;Female;Yes;Woodlake;Offer A;Yes;Yes;Yes;Fiber Optic;No;Yes;Yes;No;No;Yes;Yes;Yes;Two Year;Stayed;58;2;36.464635;-119.094348;9;71;27.26;12.0;95.75;6849.4;0.0;0;1935.46;8784.86;5;96.47042253521126;123.73042253521128;0.0;0.22031768292266465;;;Credit Card
0020-JDNXP;Female;Yes;Point Reyes Station;No;No;No;Yes;DSL;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;One Year;Stayed;52;1;38.060264;-122.830646;0;34;0.0;20.0;61.25;1993.2;0.0;0;0.0;1993.2;7;58.62352941176471;58.62352941176471;0.0;0.0;;;Credit Card
0021-IKXGC;Female;No;San Marcos;Offer E;Yes;Yes;Yes;Fiber Optic;No;No;No;No;No;No;No;Yes;One Year;Joined;72;0;33.119028;-117.166036;0;1;7.77;22.0;72.1;72.1;0.0;0;7.77;79.87;1;72.1;79.87;0.0;0.09728308501314635;;;Bank Withdrawal
0022-TCJCI;Male;No;Daly City;No;Yes;No;Yes;DSL;Yes;No;Yes;No;No;Yes;No;Yes;One Year;Churned;79;0;37.680844;-122.48131;0;45;10.67;17.0;62.7;2791.5;0.0;0;480.15;3271.65;4;62.03333333333333;72.70333333333333;0.0;0.14676080876621886;Dissatisfaction;Limited range of services;Credit Card
0023-HGHWL;Male;No;Morgan Hill;No;No;No;Yes;Cable;No;No;No;No;No;No;No;Yes;Month-to-Month;Churned;67;0;37.161544;-121.649371;0;1;0.0;9.0;25.1;25.1;0.0;0;0.0;25.1;1;25.1;25.1;0.0;0.0;Competitor;Competitor made better offer;Bank Withdrawal
0023-UYUPN;Female;Yes;Ahwahnee;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;One Year;Stayed;79;0;37.375816;-119.739935;0;50;31.43;0.0;25.2;1306.3;0.0;0;1571.5;2877.8;0;26.125999999999998;57.556000000000004;0.0;0.5460768642713183;;;Bank Withdrawal
0023-XUOPT;Female;Yes;Carnelian Bay;No;Yes;Yes;Yes;Fiber Optic;No;Yes;Yes;No;Yes;No;No;Yes;Month-to-Month;Churned;26;0;39.227434;-120.091806;1;13;43.56;52.0;94.1;1215.6;0.0;0;566.28;1781.88;4;93.5076923076923;137.0676923076923;0.0;0.31779917839585153;Other;Don't know;Bank Withdrawal
0027-KWYKW;Female;Yes;Alpaugh;Offer D;Yes;Yes;Yes;Fiber Optic;No;No;No;No;Yes;No;No;Yes;Month-to-Month;Stayed;30;2;35.869626;-119.498771;1;23;34.91;30.0;83.75;1849.95;0.0;0;802.93;2652.88;2;80.43260869565218;115.34260869565217;0.0;0.3026635204004704;;;Bank Withdrawal
0030-FNXPP;Female;No;Keeler;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Month-to-Month;Joined;22;0;36.560498;-117.962461;0;3;3.12;0.0;19.85;57.2;0.0;0;9.36;66.56;0;19.066666666666666;22.186666666666667;0.0;0.140625;;;Credit Card
0031-PVLZI;Female;Yes;Korbel;Offer E;Yes;No;No;No;No;No;No;No;No;No;No;No;Month-to-Month;Churned;34;0;40.7666;-123.80458;0;4;12.43;0.0;20.35;76.35;0.0;0;49.72;126.07;0;19.0875;31.5175;0.0;0.39438407234076306;Price;Long distance charges;Credit Card
0032-PGELS;Female;Yes;Palomar Mountain;No;No;No;Yes;DSL;Yes;No;No;No;No;No;No;Yes;Month-to-Month;Churned;37;1;33.309852;-116.823091;1;1;0.0;19.0;30.5;30.5;0.0;0;0.0;30.5;2;30.5;30.5;0.0;0.0;Attitude;Attitude of service provider;Bank Withdrawal
0036-IHMOT;Female;Yes;Parlier;No;Yes;No;Yes;Fiber Optic;No;Yes;Yes;Yes;Yes;Yes;Yes;No;One Year;Stayed;37;3;36.622237;-119.521126;10;55;35.04;57.0;103.7;5656.75;0.0;20;1927.2;7603.95;6;102.85;138.25363636363636;0.0;0.25607743343919936;;;Bank Withdrawal
0040-HALCW;Male;Yes;Modesto;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Two Year;Stayed;42;3;37.612612;-121.108568;3;54;19.7;0.0;20.4;1090.6;0.0;0;1063.8;2154.4;0;20.196296296296296;39.8962962962963;0.0;0.4937801708132194;;;Credit Card
0042-JVWOJ;Male;No;Glen Ellen;Offer C;Yes;No;No;No;No;No;No;No;No;No;No;No;One Year;Stayed;64;0;38.368744;-122.522642;0;26;37.7;0.0;19.6;471.85;21.25;0;980.2;1430.8;0;18.148076923076925;55.03076923076923;0.04503549856946063;0.6850712887894884;;;Bank Withdrawal
0042-RLHYP;Female;Yes;Eureka;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Two Year;Stayed;47;3;40.737431;-124.108897;5;69;38.39;0.0;19.7;1396.9;0.0;0;2648.91;4045.81;0;20.244927536231884;58.634927536231885;0.0;0.654729213680326;;;Bank Withdrawal
0048-LUMLS;Male;Yes;Moss Beach;Offer C;Yes;No;Yes;Fiber Optic;No;No;No;No;Yes;Yes;Yes;Yes;One Year;Stayed;23;3;37.515556;-122.502311;1;37;43.01;51.0;91.2;3247.55;0.0;0;1591.37;4838.92;4;87.77162162162162;130.7816216216216;0.0;0.3288688385011531;;;Credit Card
0048-PIHNL;Female;Yes;Los Angeles;Offer B;Yes;No;No;No;No;No;No;No;No;No;No;No;One Year;Stayed;48;0;34.001617;-118.222274;5;49;49.58;0.0;20.45;900.9;0.0;0;2429.42;3330.32;0;18.385714285714286;67.96571428571428;0.0;0.7294854548511854;;;Bank Withdrawal
0052-DCKON;Male;Yes;Los Angeles;No;Yes;Yes;Yes;Fiber Optic;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;One Year;Stayed;28;0;34.044271;-118.185237;9;66;43.77;41.0;-2.0;7942.15;0.0;0;2888.82;10830.97;8;120.33560606060605;164.10560606060605;0.0;0.266718493357474;;;Bank Withdrawal
0052-YNYOT;Female;No;Calexico;No;Yes;No;No;No;No;No;No;No;No;No;No;No;One Year;Stayed;28;0;32.690654;-115.431225;0;67;23.12;0.0;20.55;1343.4;30.53;0;1549.04;2861.91;0;20.050746268656717;42.71507462686567;0.02272591930921542;0.5412609061780419;;;Bank Withdrawal
0056-EPFBG;Male;Yes;Redding;No;No;No;Yes;Cable;Yes;No;Yes;Yes;No;No;No;Yes;Two Year;Stayed;33;1;40.677649;-122.29467;4;20;0.0;22.0;39.4;825.4;0.0;0;0.0;825.4;4;41.269999999999996;41.269999999999996;0.0;0.0;;;Credit Card
0057-QBUQH;Female;No;San Martin;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;Two Year;Stayed;31;3;37.084697;-121.606417;0;43;30.64;0.0;25.1;1070.15;0.0;0;1317.52;2387.67;0;24.887209302325584;55.52720930232558;0.0;0.5518015471149698;;;Bank Withdrawal
